Week,Trades,AvgPnL,WinRate,TotalPnL,CumulativePnL
2023-01-02,1,750.0,100.0,750.0,750.0
2023-01-09,3,138.33,66.67,415.0,1165.0
2023-01-16,3,-250.0,33.33,-750.0,415.0
2023-01-23,3,250.0,66.67,750.0,1165.0
2023-01-30,4,128.75,50.0,515.0,1680.0
2023-02-06,2,0.0,50.0,0.0,1680.0
2023-02-13,4,181.25,75.0,725.0,2405.0
2023-02-27,4,40.62,75.0,162.5,2567.5
2023-03-06,3,-515.0,0.0,-1545.0,1022.5
2023-03-13,4,375.0,75.0,1500.0,2522.5
2023-03-20,3,304.17,66.67,912.5,3435.0
2023-03-27,4,-131.25,25.0,-525.0,2910.0
2023-04-03,3,-250.0,33.33,-750.0,2160.0
2023-04-10,2,-95.0,50.0,-190.0,1970.0
2023-04-17,3,30.83,66.67,92.5,2062.5
2023-04-24,2,381.25,100.0,762.5,2825.0
2023-05-01,2,496.25,100.0,992.5,3817.5
2023-05-08,1,-480.0,0.0,-480.0,3337.5
2023-05-15,3,402.5,100.0,1207.5,4545.0
2023-05-22,3,-19.17,33.33,-57.5,4487.5
2023-05-29,2,0.0,50.0,0.0,4487.5
2023-06-05,4,36.88,50.0,147.5,4635.0
2023-06-12,3,303.33,100.0,910.0,5545.0
2023-06-19,1,-750.0,0.0,-750.0,4795.0
2023-06-26,4,167.5,50.0,670.0,5465.0
2023-07-03,3,-30.83,33.33,-92.5,5372.5
2023-07-10,3,-340.0,33.33,-1020.0,4352.5
2023-07-17,1,-750.0,0.0,-750.0,3602.5
2023-07-24,2,431.25,100.0,862.5,4465.0
2023-07-31,2,-373.75,50.0,-747.5,3717.5
2023-08-07,1,-750.0,0.0,-750.0,2967.5
2023-08-14,3,-68.33,66.67,-205.0,2762.5
2023-08-21,3,250.0,66.67,750.0,3512.5
2023-08-28,3,-250.0,33.33,-750.0,2762.5
2023-09-04,2,262.5,100.0,525.0,3287.5
2023-09-11,3,6.67,66.67,20.0,3307.5
2023-09-18,1,70.0,100.0,70.0,3377.5
2023-09-25,3,176.67,66.67,530.0,3907.5
2023-10-02,4,-186.88,50.0,-747.5,3160.0
2023-10-09,3,610.83,100.0,1832.5,4992.5
2023-10-16,3,-10.83,33.33,-32.5,4960.0
2023-10-23,2,-750.0,0.0,-1500.0,3460.0
2023-10-30,4,189.38,75.0,757.5,4217.5
2023-11-06,2,750.0,100.0,1500.0,5717.5
2023-11-13,2,-180.0,0.0,-360.0,5357.5
2023-11-20,1,587.5,100.0,587.5,5945.0
2023-11-27,3,370.83,66.67,1112.5,7057.5
2023-12-04,3,95.83,66.67,287.5,7345.0
2023-12-11,3,105.0,66.67,315.0,7660.0
2023-12-18,4,-6.88,50.0,-27.5,7632.5
2023-12-25,1,97.5,100.0,97.5,7730.0
2024-01-01,3,-571.67,0.0,-1715.0,6015.0
2024-01-08,3,490.0,100.0,1470.0,7485.0
2024-01-15,3,-250.0,33.33,-750.0,6735.0
2024-01-22,2,0.0,50.0,0.0,6735.0
2024-01-29,1,750.0,100.0,750.0,7485.0
2024-02-05,3,141.67,33.33,425.0,7910.0
2024-02-12,3,-15.0,33.33,-45.0,7865.0
2024-02-19,2,-212.5,50.0,-425.0,7440.0
2024-02-26,3,-17.5,33.33,-52.5,7387.5
2024-03-04,2,601.25,100.0,1202.5,8590.0
2024-03-11,2,0.0,50.0,0.0,8590.0
2024-03-18,2,-485.0,0.0,-970.0,7620.0
2024-03-25,3,-231.67,33.33,-695.0,6925.0
2024-04-01,2,750.0,100.0,1500.0,8425.0
2024-04-08,2,-525.0,0.0,-1050.0,7375.0
2024-04-15,2,-358.75,50.0,-717.5,6657.5
2024-04-22,3,702.5,100.0,2107.5,8765.0
2024-04-29,1,-750.0,0.0,-750.0,8015.0
2024-05-06,3,320.0,100.0,960.0,8975.0
2024-05-13,4,48.75,50.0,195.0,9170.0
2024-05-20,4,189.38,75.0,757.5,9927.5
2024-05-27,1,50.0,100.0,50.0,9977.5
2024-06-03,2,621.25,100.0,1242.5,11220.0
2024-06-10,3,239.17,66.67,717.5,11937.5
2024-06-17,2,0.0,50.0,0.0,11937.5
2024-06-24,5,-254.5,40.0,-1272.5,10665.0
2024-07-01,3,750.0,100.0,2250.0,12915.0
2024-07-08,3,-16.67,33.33,-50.0,12865.0
2024-07-15,1,750.0,100.0,750.0,13615.0
2024-07-22,3,-750.0,0.0,-2250.0,11365.0
2024-07-29,2,0.0,50.0,0.0,11365.0
2024-08-05,3,-250.0,33.33,-750.0,10615.0
2024-08-12,4,333.75,75.0,1335.0,11950.0
2024-08-19,3,121.67,66.67,365.0,12315.0
2024-08-26,3,-250.0,33.33,-750.0,11565.0
2024-09-02,2,0.0,50.0,0.0,11565.0
2024-09-09,3,250.0,66.67,750.0,12315.0
2024-09-16,2,0.0,50.0,0.0,12315.0
2024-09-23,2,-298.75,0.0,-597.5,11717.5
2024-09-30,2,0.0,50.0,0.0,11717.5
2024-10-07,5,533.0,80.0,2665.0,14382.5
2024-10-14,2,-427.5,0.0,-855.0,13527.5
2024-10-21,3,-169.17,33.33,-507.5,13020.0
2024-10-28,3,-250.0,33.33,-750.0,12270.0
2024-11-04,3,-190.0,66.67,-570.0,11700.0
2024-11-18,2,750.0,100.0,1500.0,13200.0
2024-11-25,1,750.0,100.0,750.0,13950.0
2024-12-02,4,304.38,75.0,1217.5,15167.5
2024-12-09,4,-169.38,50.0,-677.5,14490.0
2024-12-16,4,118.12,50.0,472.5,14962.5
2024-12-23,2,155.0,50.0,310.0,15272.5
2024-12-30,1,-750.0,0.0,-750.0,14522.5
2025-01-06,2,-750.0,0.0,-1500.0,13022.5
2025-01-13,2,0.0,50.0,0.0,13022.5
2025-01-20,3,-124.17,66.67,-372.5,12650.0
2025-01-27,3,250.0,66.67,750.0,13400.0
2025-02-03,4,183.75,50.0,735.0,14135.0
2025-02-10,5,-14.5,40.0,-72.5,14062.5
2025-02-24,2,0.0,50.0,0.0,14062.5
2025-03-03,1,750.0,100.0,750.0,14812.5
2025-03-10,1,750.0,100.0,750.0,15562.5
2025-03-17,3,250.0,66.67,750.0,16312.5
2025-03-24,3,113.33,33.33,340.0,16652.5
2025-03-31,2,0.0,50.0,0.0,16652.5
2025-04-21,1,750.0,100.0,750.0,17402.5
2025-04-28,3,107.5,66.67,322.5,17725.0
2025-05-05,3,250.0,66.67,750.0,18475.0
2025-05-12,2,750.0,100.0,1500.0,19975.0
2025-05-19,5,363.5,80.0,1817.5,21792.5
2025-05-26,2,0.0,50.0,0.0,21792.5
2025-06-02,3,-250.0,33.33,-750.0,21042.5
2025-06-09,2,343.75,50.0,687.5,21730.0
2025-06-16,3,180.83,66.67,542.5,22272.5
2025-06-23,4,158.75,75.0,635.0,22907.5
